"key","species","kingdom","phylum","class","order","family","genus","n_pts","n_rawpts","n_sdmpts"
286731,"Caryophyllia (Caryophyllia) berteriana","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",0,2,1
135188,"Eguchipsammia cornucopia","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Eguchipsammia",10,30,15
135196,"Flabellum (Flabellum) chunii","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum",56,148,130
346424,"Flabellum (Ulocyathus) apertum","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum",0,1,1
135130,"Anomocora fecunda","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Anomocora",17,52,70
101017,"Pseudocorynactis caribbeorum","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","Pseudocorynactis",3,47,13
135212,"Madracis pharensis","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis",58,123,80
135189,"Eguchipsammia gaditana","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Eguchipsammia",8,21,19
289448,"Antipathella wollastoni","Animalia","Cnidaria","Anthozoa","Antipatharia","Myriopathidae","Antipathella",21,247,41
135157,"Deltocyathus moseleyi","Animalia","Cnidaria","Anthozoa","Scleractinia","Deltocyathidae","Deltocyathus",42,138,77
135163,"Paracyathus pulchellus","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Paracyathus",67,242,134
135141,"Caryophyllia (Caryophyllia) inornata","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",272,1814,388
135138,"Caryophyllia (Caryophyllia) cyathus","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",58,193,97
101016,"Corynactis viridis","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","Corynactis",1070,17191,1461
125405,"Callogorgia verticillata","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Callogorgia",108,328,158
135213,"Madracis profunda","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis",6,12,14
288456,"Palythoa caribaeorum","Animalia","Cnidaria","Anthozoa","Zoantharia","Sphenopidae","Palythoa",1,1,3
135216,"Peponocyathus folliculus","Animalia","Cnidaria","Anthozoa","Scleractinia","Turbinoliidae","Peponocyathus",15,44,25
286276,"Leptogorgia ruberrima","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Gorgoniidae","Leptogorgia",5,38,11
125348,"Acanthogorgia armata","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Acanthogorgia",95,275,102
135155,"Deltocyathus eccentricus","Animalia","Cnidaria","Anthozoa","Scleractinia","Deltocyathidae","Deltocyathus",27,79,44
135208,"Stenocyathus vermiformis","Animalia","Cnidaria","Anthozoa","Scleractinia","Stenocyathidae","Stenocyathus",56,184,101
135211,"Madracis asperula","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis",8,16,17
135205,"Fungiacyathus (Bathyactis) marenzelleri","Animalia","Cnidaria","Anthozoa","Scleractinia","Fungiacyathidae","Fungiacyathus",91,230,151
125392,"Placogorgia coronata","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Placogorgia",14,25,16
467546,"Antipathozoanthus macaronesicus","Animalia","Cnidaria","Anthozoa","Zoantharia","Parazoanthidae","Antipathozoanthus",7,79,13
582041,"Palythoa grandiflora","Animalia","Cnidaria","Anthozoa","Zoantharia","Sphenopidae","Palythoa",2,6,13
288840,"Zoanthus pulchellus","Animalia","Cnidaria","Anthozoa","Zoantharia","Zoanthidae","Zoanthus",1,4,3
101055,"Parazoanthus axinellae","Animalia","Cnidaria","Anthozoa","Zoantharia","Parazoanthidae","Parazoanthus",536,8016,713
283956,"Schizopathes affinis","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Schizopathes",5,9,5
286719,"Anomocora prolifera","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Anomocora",14,27,19
135147,"Cladocora debilis","Animalia","Cnidaria","Anthozoa","Scleractinia","Cladocoridae","Cladocora",18,35,31
346430,"Phyllangia americana","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Phyllangia",31,41,38
135145,"Ceratotrochus magnaghii","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Ceratotrochus",5,14,23
135151,"Concentrotheca laevigata","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Concentrotheca",3,10,4
135133,"Caryophyllia (Caryophyllia) abyssorum","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",29,74,46
546694,"Peponocyathus stimpsonii","Animalia","Cnidaria","Anthozoa","Scleractinia","Turbinoliidae","Peponocyathus",9,13,24
135193,"Leptopsammia pruvoti","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Leptopsammia",306,4776,406
135203,"Fungiacyathus (Bathyactis) crispus","Animalia","Cnidaria","Anthozoa","Scleractinia","Fungiacyathidae","Fungiacyathus",12,20,18
135201,"Placotrochides frustum","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Placotrochides",2,7,4
