"AphiaID","scientificName","scientificNameWWF","vernacularName","scientificNameID","match_type","acceptedNameUsageID","rank","listedIn","annex","note","status","id","url","authority","unacceptreason","taxonRankID","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","modified","gbif_speciesKey","gbif_scientificName","gbif_matchType","taxonID","sdm_result"
271422,"Pristis clavata","Pristis clavata","Dwarf sawfish","urn:lsid:marinespecies.org:taxname:271422","exact",271422,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,5216282,"Pristis clavata Garman, 1906","EXACT",271422,"available"
105848,"Pristis pectinata","Pristis pectinata","Smalltooth sawfish","urn:lsid:marinespecies.org:taxname:105848","exact",105848,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,5216292,"Pristis pectinata Latham, 1794","EXACT",105848,"available"
105849,"Pristis pristis","Pristis pristis","Largetooth sawfish","urn:lsid:marinespecies.org:taxname:105849","exact",105849,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,5216276,"Pristis pristis (Linnaeus, 1758)","EXACT",105849,"available"
105837,"Cetorhinus maximus","Cetorhinus maximus","Basking shark","urn:lsid:marinespecies.org:taxname:105837","exact",105837,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2420726,"Cetorhinus maximus (Gunnerus, 1765)","EXACT",105837,"available"
105838,"Carcharodon carcharias","Carcharodon carcharias","White shark","urn:lsid:marinespecies.org:taxname:105838","exact",105838,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2420694,"Carcharodon carcharias (Linnaeus, 1758)","EXACT",105838,"available"
105912,"Etmopterus pusillus","Etmopterus pusillus","Smooth lantern shark","urn:lsid:marinespecies.org:taxname:105912","exact",105912,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2421031,"Etmopterus pusillus (Lowe, 1839)","EXACT",105912,"available"
1042871,"Manta alfredi","Manta alfredi","Reef manta ray","urn:lsid:marinespecies.org:taxname:298794","exact",1042871,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2419160,"Manta alfredi (Krefft, 1868)","EXACT",1042871,"available"
1026118,"Manta birostris","Manta birostris","Giant manta ray","urn:lsid:marinespecies.org:taxname:105857","exact",1026118,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2419163,"Manta birostris (Walbaum, 1792)","EXACT",1026118,"available"
105858,"Mobula mobular","Mobula mobular","Devil fish","urn:lsid:marinespecies.org:taxname:105858","exact",105858,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2419188,"Mobula mobular (Bonnaterre, 1788)","EXACT",105858,"unavailable"
271483,"Mobula rochebrunei","Mobula rochebrunei","Lesser Guinean devil ray","urn:lsid:marinespecies.org:taxname:271483","exact",271483,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2419224,"Mobula rochebrunei (Vaillant, 1879)","EXACT",271483,"unavailable"
217430,"Mobula thurstoni","Mobula thurstoni","Smoothtail mobula","urn:lsid:marinespecies.org:taxname:217430","exact",217430,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2419218,"Mobula thurstoni (Lloyd, 1908)","EXACT",217430,"unavailable"
217434,"Mobula eregoodootenkee","Mobula eregoodootenkee","Longhorned mobula","urn:lsid:marinespecies.org:taxname:217434","exact",217434,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2419206,"Mobula eregoodootenkee (Bleeker, 1859)","EXACT",217434,"unavailable"
105859,"Mobula tarapacana","Mobula tarapacana","Chilean devil ray","urn:lsid:marinespecies.org:taxname:105859","exact",105859,"Species","NRL","3",NA,"accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2419179,"Mobula tarapacana (Philippi, 1892)","EXACT",105859,"unavailable"
