"key","species","kingdom","phylum","class","order","family","genus"
138849,"Japetella diaphana","Animalia","Mollusca","Cephalopoda","Octopoda","Amphitretidae","Japetella"
137205,"Caretta caretta","Animalia","Chordata",NA,"Testudines","Cheloniidae","Caretta"
127304,"Vinciguerria poweriae","Animalia","Chordata","Teleostei","Stomiiformes","Phosichthyidae","Vinciguerria"
126292,"Nessorhamphus ingolfianus","Animalia","Chordata","Teleostei","Anguilliformes","Derichthyidae","Nessorhamphus"
127337,"Chauliodus danae","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Chauliodus"
137119,"Physeter macrocephalus","Animalia","Chordata","Mammalia","Cetartiodactyla","Physeteridae","Physeter"
237973,"Mimocalanus heronae","Animalia","Arthropoda","Copepoda","Calanoida","Spinocalanidae","Mimocalanus"
104854,"Spinocalanus oligospinosus","Animalia","Arthropoda","Copepoda","Calanoida","Spinocalanidae","Spinocalanus"
127303,"Vinciguerria nimbaria","Animalia","Chordata","Teleostei","Stomiiformes","Phosichthyidae","Vinciguerria"
127364,"Melanostomias tentaculatus","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Melanostomias"
126306,"Nemichthys scolopaceus","Animalia","Chordata","Teleostei","Anguilliformes","Nemichthyidae","Nemichthys"
360620,"Spinocalanus dispar","Animalia","Arthropoda","Copepoda","Calanoida","Spinocalanidae","Spinocalanus"
410340,"Bolitaena pygmaea","Animalia","Mollusca","Cephalopoda","Octopoda","Amphitretidae","Bolitaena"
126605,"Hygophum taaningi","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Hygophum"
126604,"Hygophum reinhardtii","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Hygophum"
418107,"Globigerinoides tenellus","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Globigerinoides"
221331,"Pulleniatina obliquiloculata","Chromista","Foraminifera","Globothalamea","Rotaliida","Pulleniatinidae","Pulleniatina"
113440,"Globigerinella siphonifera","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Globigerinella"
113448,"Globorotalia hirsuta","Chromista","Foraminifera","Globothalamea","Rotaliida","Globorotaliidae","Globorotalia"
221249,"Globigerina falconensis","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Globigerina"
418106,"Globigerinella calida","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Globigerinella"
113473,"Neogloboquadrina dutertrei","Chromista","Foraminifera","Globothalamea","Rotaliida","Globorotaliidae","Neogloboquadrina"
113454,"Globoturborotalita rubescens","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Globoturborotalita"
113464,"Globigerinita glutinata","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinitidae","Globigerinita"
113434,"Globigerina bulloides","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Globigerina"
113460,"Orbulina universa","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Orbulina"
107100,"Funchalia villosa","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Funchalia"
127297,"Margrethia obtusirostra","Animalia","Chordata","Teleostei","Stomiiformes","Gonostomatidae","Margrethia"
127309,"Argyropelecus hemigymnus","Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus"
127306,"Argyropelecus aculeatus","Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus"
126861,"Diplospinus multistriatus","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Diplospinus"
126348,"Scopelosaurus argenteus","Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Scopelosaurus"
126305,"Nemichthys curvirostris","Animalia","Chordata","Teleostei","Anguilliformes","Nemichthyidae","Nemichthys"
126582,"Bolinichthys indicus","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Bolinichthys"
126618,"Lampanyctus photonotus","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Lampanyctus"
126586,"Ceratoscopelus warmingii","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Ceratoscopelus"
126595,"Diaphus mollis","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Diaphus"
137193,"Bulweria bulwerii","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Bulweria"
127338,"Chauliodus sloani","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Chauliodus"
127347,"Eustomias obscurus","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Eustomias"
126339,"Evermannella indica","Animalia","Chordata","Teleostei","Aulopiformes","Evermannellidae","Evermannella"
514114,"Allosergestes sargassi","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes"
514112,"Allosergestes pectinatus","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes"
113433,"Beella digitata","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Beella"
418108,"Sphaeroidinella dehiscens","Chromista","Foraminifera","Globothalamea","Rotaliida","Globigerinidae","Sphaeroidinella"
236632,"Vibilia armata","Animalia","Arthropoda","Malacostraca","Amphipoda","Vibiliidae","Vibilia"
107603,"Systellaspis braueri","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Systellaspis"
107602,"Oplophorus spinosus","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Oplophorus"
107127,"Sergestes atlanticus","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Sergestes"
127232,"Dactylopterus volitans","Animalia","Chordata","Teleostei","Dactylopteriformes","Dactylopteridae","Dactylopterus"
127292,"Diplophos taenia","Animalia","Chordata","Teleostei","Stomiiformes","Gonostomatidae","Diplophos"
126864,"Nealotus tripes","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Nealotus"
126862,"Gempylus serpens","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Gempylus"
126347,"Ahliesaurus berryi","Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Ahliesaurus"
126367,"Scopelarchus analis","Animalia","Chordata","Teleostei","Aulopiformes","Scopelarchidae","Scopelarchus"
126353,"Lestidiops affinis","Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Lestidiops"
126620,"Lepidophanes gaussi","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Lepidophanes"
126629,"Notolychnus valdiviae","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Notolychnus"
126599,"Diogenichthys atlanticus","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Diogenichthys"
